index,zoom,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12
0,18,149501,121056,149502,121056,149503,121056,149504,121056,149505,121056,149506,121056,149501,121057,149502,121057,149503,121057,149504,121057,149505,121057,149506,121057
1,18,149507,121056,149508,121056,149509,121056,149510,121056,149511,121056,149512,121056,149507,121057,149508,121057,149509,121057,149510,121057,149511,121057,149512,121057
2,18,149513,121056,149514,121056,149515,121056,149516,121056,149517,121056,149518,121056,149513,121057,149514,121057,149515,121057,149516,121057,149517,121057,149518,121057
3,18,149519,121056,149520,121056,149521,121056,149522,121056,149523,121056,149524,121056,149519,121057,149520,121057,149521,121057,149522,121057,149523,121057,149524,121057
4,18,149501,121058,149502,121058,149503,121058,149504,121058,149505,121058,149506,121058,149501,121059,149502,121059,149503,121059,149504,121059,149505,121059,149506,121059
5,18,149507,121058,149508,121058,149509,121058,149510,121058,149511,121058,149512,121058,149507,121059,149508,121059,149509,121059,149510,121059,149511,121059,149512,121059
6,18,149513,121058,149514,121058,149515,121058,149516,121058,149517,121058,149518,121058,149513,121059,149514,121059,149515,121059,149516,121059,149517,121059,149518,121059
7,18,149519,121058,149520,121058,149521,121058,149522,121058,149523,121058,149524,121058,149519,121059,149520,121059,149521,121059,149522,121059,149523,121059,149524,121059
8,18,149501,121060,149502,121060,149503,121060,149504,121060,149505,121060,149506,121060,149501,121061,149502,121061,149503,121061,149504,121061,149505,121061,149506,121061
9,18,149507,121060,149508,121060,149509,121060,149510,121060,149511,121060,149512,121060,149507,121061,149508,121061,149509,121061,149510,121061,149511,121061,149512,121061
10,18,149513,121060,149514,121060,149515,121060,149516,121060,149517,121060,149518,121060,149513,121061,149514,121061,149515,121061,149516,121061,149517,121061,149518,121061
11,18,149519,121060,149520,121060,149521,121060,149522,121060,149523,121060,149524,121060,149519,121061,149520,121061,149521,121061,149522,121061,149523,121061,149524,121061
12,18,149501,121062,149502,121062,149503,121062,149504,121062,149505,121062,149506,121062,149501,121063,149502,121063,149503,121063,149504,121063,149505,121063,149506,121063
13,18,149507,121062,149508,121062,149509,121062,149510,121062,149511,121062,149512,121062,149507,121063,149508,121063,149509,121063,149510,121063,149511,121063,149512,121063
14,18,149513,121062,149514,121062,149515,121062,149516,121062,149517,121062,149518,121062,149513,121063,149514,121063,149515,121063,149516,121063,149517,121063,149518,121063
15,18,149519,121062,149520,121062,149521,121062,149522,121062,149523,121062,149524,121062,149519,121063,149520,121063,149521,121063,149522,121063,149523,121063,149524,121063
16,18,149501,121064,149502,121064,149503,121064,149504,121064,149505,121064,149506,121064,149501,121065,149502,121065,149503,121065,149504,121065,149505,121065,149506,121065
17,18,149507,121064,149508,121064,149509,121064,149510,121064,149511,121064,149512,121064,149507,121065,149508,121065,149509,121065,149510,121065,149511,121065,149512,121065
18,18,149513,121064,149514,121064,149515,121064,149516,121064,149517,121064,149518,121064,149513,121065,149514,121065,149515,121065,149516,121065,149517,121065,149518,121065
19,18,149519,121064,149520,121064,149521,121064,149522,121064,149523,121064,149524,121064,149519,121065,149520,121065,149521,121065,149522,121065,149523,121065,149524,121065
20,18,149501,121066,149502,121066,149503,121066,149504,121066,149505,121066,149506,121066,149501,121067,149502,121067,149503,121067,149504,121067,149505,121067,149506,121067
21,18,149507,121066,149508,121066,149509,121066,149510,121066,149511,121066,149512,121066,149507,121067,149508,121067,149509,121067,149510,121067,149511,121067,149512,121067
22,18,149513,121066,149514,121066,149515,121066,149516,121066,149517,121066,149518,121066,149513,121067,149514,121067,149515,121067,149516,121067,149517,121067,149518,121067
23,18,149519,121066,149520,121066,149521,121066,149522,121066,149523,121066,149524,121066,149519,121067,149520,121067,149521,121067,149522,121067,149523,121067,149524,121067
24,18,149501,121068,149502,121068,149503,121068,149504,121068,149505,121068,149506,121068,149501,121069,149502,121069,149503,121069,149504,121069,149505,121069,149506,121069
25,18,149507,121068,149508,121068,149509,121068,149510,121068,149511,121068,149512,121068,149507,121069,149508,121069,149509,121069,149510,121069,149511,121069,149512,121069
26,18,149513,121068,149514,121068,149515,121068,149516,121068,149517,121068,149518,121068,149513,121069,149514,121069,149515,121069,149516,121069,149517,121069,149518,121069
27,18,149519,121068,149520,121068,149521,121068,149522,121068,149523,121068,149524,121068,149519,121069,149520,121069,149521,121069,149522,121069,149523,121069,149524,121069
28,18,149501,121070,149502,121070,149503,121070,149504,121070,149505,121070,149506,121070,149501,121071,149502,121071,149503,121071,149504,121071,149505,121071,149506,121071
29,18,149507,121070,149508,121070,149509,121070,149510,121070,149511,121070,149512,121070,149507,121071,149508,121071,149509,121071,149510,121071,149511,121071,149512,121071
30,18,149513,121070,149514,121070,149515,121070,149516,121070,149517,121070,149518,121070,149513,121071,149514,121071,149515,121071,149516,121071,149517,121071,149518,121071
31,18,149519,121070,149520,121070,149521,121070,149522,121070,149523,121070,149524,121070,149519,121071,149520,121071,149521,121071,149522,121071,149523,121071,149524,121071
