index,zoom,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12
0,18,148872,120755,148873,120755,148874,120755,148875,120755,148876,120755,148877,120755,148872,120756,148873,120756,148874,120756,148875,120756,148876,120756,148877,120756
1,18,148878,120755,148879,120755,148880,120755,148881,120755,148882,120755,148883,120755,148878,120756,148879,120756,148880,120756,148881,120756,148882,120756,148883,120756
2,18,148884,120755,148885,120755,148886,120755,148887,120755,148888,120755,148889,120755,148884,120756,148885,120756,148886,120756,148887,120756,148888,120756,148889,120756
3,18,148890,120755,148891,120755,148892,120755,148893,120755,148894,120755,148895,120755,148890,120756,148891,120756,148892,120756,148893,120756,148894,120756,148895,120756
4,18,148896,120755,148897,120755,148898,120755,148899,120755,148900,120755,148901,120755,148896,120756,148897,120756,148898,120756,148899,120756,148900,120756,148901,120756
5,18,148902,120755,148903,120755,148904,120755,148905,120755,148906,120755,148907,120755,148902,120756,148903,120756,148904,120756,148905,120756,148906,120756,148907,120756
6,18,148908,120755,148909,120755,148910,120755,148911,120755,148912,120755,148913,120755,148908,120756,148909,120756,148910,120756,148911,120756,148912,120756,148913,120756
7,18,148914,120755,148915,120755,148916,120755,148917,120755,148918,120755,148919,120755,148914,120756,148915,120756,148916,120756,148917,120756,148918,120756,148919,120756
8,18,148920,120755,148921,120755,148922,120755,148923,120755,148924,120755,148925,120755,148920,120756,148921,120756,148922,120756,148923,120756,148924,120756,148925,120756
9,18,148926,120755,148927,120755,148928,120755,148929,120755,148930,120755,148931,120755,148926,120756,148927,120756,148928,120756,148929,120756,148930,120756,148931,120756
10,18,148932,120755,148933,120755,148934,120755,148935,120755,148936,120755,148937,120755,148932,120756,148933,120756,148934,120756,148935,120756,148936,120756,148937,120756
11,18,148938,120755,148939,120755,148940,120755,148941,120755,148942,120755,148943,120755,148938,120756,148939,120756,148940,120756,148941,120756,148942,120756,148943,120756
12,18,148944,120755,148945,120755,148946,120755,148947,120755,148948,120755,148949,120755,148944,120756,148945,120756,148946,120756,148947,120756,148948,120756,148949,120756
13,18,148950,120755,148951,120755,148952,120755,148953,120755,148954,120755,148955,120755,148950,120756,148951,120756,148952,120756,148953,120756,148954,120756,148955,120756
14,18,148956,120755,148957,120755,148958,120755,148959,120755,148960,120755,148961,120755,148956,120756,148957,120756,148958,120756,148959,120756,148960,120756,148961,120756
15,18,148962,120755,148963,120755,148964,120755,148965,120755,148966,120755,148967,120755,148962,120756,148963,120756,148964,120756,148965,120756,148966,120756,148967,120756
16,18,148968,120755,148969,120755,148970,120755,148971,120755,148972,120755,148973,120755,148968,120756,148969,120756,148970,120756,148971,120756,148972,120756,148973,120756
17,18,148974,120755,148975,120755,148976,120755,148977,120755,148978,120755,148979,120755,148974,120756,148975,120756,148976,120756,148977,120756,148978,120756,148979,120756
18,18,148980,120755,148981,120755,148982,120755,148983,120755,148984,120755,148985,120755,148980,120756,148981,120756,148982,120756,148983,120756,148984,120756,148985,120756
19,18,148986,120755,148987,120755,148988,120755,148989,120755,148990,120755,148991,120755,148986,120756,148987,120756,148988,120756,148989,120756,148990,120756,148991,120756
20,18,148992,120755,148993,120755,148994,120755,148995,120755,148996,120755,148997,120755,148992,120756,148993,120756,148994,120756,148995,120756,148996,120756,148997,120756
21,18,148998,120755,148999,120755,149000,120755,149001,120755,149002,120755,149003,120755,148998,120756,148999,120756,149000,120756,149001,120756,149002,120756,149003,120756
22,18,149004,120755,149005,120755,149006,120755,149007,120755,149008,120755,149009,120755,149004,120756,149005,120756,149006,120756,149007,120756,149008,120756,149009,120756
23,18,149010,120755,149011,120755,149012,120755,149013,120755,149014,120755,149015,120755,149010,120756,149011,120756,149012,120756,149013,120756,149014,120756,149015,120756
24,18,149016,120755,149017,120755,149018,120755,149019,120755,149020,120755,149021,120755,149016,120756,149017,120756,149018,120756,149019,120756,149020,120756,149021,120756
25,18,149022,120755,149023,120755,149024,120755,149025,120755,149026,120755,149027,120755,149022,120756,149023,120756,149024,120756,149025,120756,149026,120756,149027,120756
26,18,149028,120755,149029,120755,149030,120755,149031,120755,149032,120755,149033,120755,149028,120756,149029,120756,149030,120756,149031,120756,149032,120756,149033,120756
27,18,149034,120755,149035,120755,149036,120755,149037,120755,149038,120755,149039,120755,149034,120756,149035,120756,149036,120756,149037,120756,149038,120756,149039,120756
28,18,149040,120755,149041,120755,149042,120755,149043,120755,149044,120755,149045,120755,149040,120756,149041,120756,149042,120756,149043,120756,149044,120756,149045,120756
29,18,149046,120755,149047,120755,149048,120755,149049,120755,149050,120755,149051,120755,149046,120756,149047,120756,149048,120756,149049,120756,149050,120756,149051,120756
30,18,149052,120755,149053,120755,149054,120755,149055,120755,149056,120755,149057,120755,149052,120756,149053,120756,149054,120756,149055,120756,149056,120756,149057,120756
31,18,149058,120755,149059,120755,149060,120755,149061,120755,149062,120755,149063,120755,149058,120756,149059,120756,149060,120756,149061,120756,149062,120756,149063,120756
32,18,149064,120755,149065,120755,149066,120755,149067,120755,149068,120755,149069,120755,149064,120756,149065,120756,149066,120756,149067,120756,149068,120756,149069,120756
33,18,149070,120755,149071,120755,149072,120755,149073,120755,149074,120755,149075,120755,149070,120756,149071,120756,149072,120756,149073,120756,149074,120756,149075,120756
34,18,149076,120755,149077,120755,149078,120755,149079,120755,149080,120755,149081,120755,149076,120756,149077,120756,149078,120756,149079,120756,149080,120756,149081,120756
35,18,149082,120755,149083,120755,149084,120755,149085,120755,149086,120755,149087,120755,149082,120756,149083,120756,149084,120756,149085,120756,149086,120756,149087,120756
36,18,149088,120755,149089,120755,149090,120755,149091,120755,149092,120755,149093,120755,149088,120756,149089,120756,149090,120756,149091,120756,149092,120756,149093,120756
37,18,149094,120755,149095,120755,149096,120755,149097,120755,149098,120755,149099,120755,149094,120756,149095,120756,149096,120756,149097,120756,149098,120756,149099,120756
38,18,149100,120755,149101,120755,149102,120755,149103,120755,149104,120755,149105,120755,149100,120756,149101,120756,149102,120756,149103,120756,149104,120756,149105,120756
39,18,149106,120755,149107,120755,149108,120755,149109,120755,149110,120755,149111,120755,149106,120756,149107,120756,149108,120756,149109,120756,149110,120756,149111,120756
40,18,149112,120755,149113,120755,149114,120755,149115,120755,149116,120755,149117,120755,149112,120756,149113,120756,149114,120756,149115,120756,149116,120756,149117,120756
41,18,149118,120755,149119,120755,149120,120755,149121,120755,149122,120755,149123,120755,149118,120756,149119,120756,149120,120756,149121,120756,149122,120756,149123,120756
42,18,149124,120755,149125,120755,149126,120755,149127,120755,149128,120755,149129,120755,149124,120756,149125,120756,149126,120756,149127,120756,149128,120756,149129,120756
43,18,149130,120755,149131,120755,149132,120755,149133,120755,149134,120755,149135,120755,149130,120756,149131,120756,149132,120756,149133,120756,149134,120756,149135,120756
44,18,149136,120755,149137,120755,149138,120755,149139,120755,149140,120755,149141,120755,149136,120756,149137,120756,149138,120756,149139,120756,149140,120756,149141,120756
45,18,149142,120755,149143,120755,149144,120755,149145,120755,149146,120755,149147,120755,149142,120756,149143,120756,149144,120756,149145,120756,149146,120756,149147,120756
46,18,149148,120755,149149,120755,149150,120755,149151,120755,149152,120755,149153,120755,149148,120756,149149,120756,149150,120756,149151,120756,149152,120756,149153,120756
47,18,149154,120755,149155,120755,149156,120755,149157,120755,149158,120755,149159,120755,149154,120756,149155,120756,149156,120756,149157,120756,149158,120756,149159,120756
48,18,149160,120755,149161,120755,149162,120755,149163,120755,149164,120755,149165,120755,149160,120756,149161,120756,149162,120756,149163,120756,149164,120756,149165,120756
49,18,149166,120755,149167,120755,149168,120755,149169,120755,149170,120755,149171,120755,149166,120756,149167,120756,149168,120756,149169,120756,149170,120756,149171,120756
50,18,149172,120755,149173,120755,149174,120755,149175,120755,149176,120755,149177,120755,149172,120756,149173,120756,149174,120756,149175,120756,149176,120756,149177,120756
51,18,149178,120755,149179,120755,149180,120755,149181,120755,149182,120755,149183,120755,149178,120756,149179,120756,149180,120756,149181,120756,149182,120756,149183,120756
52,18,149184,120755,149185,120755,149186,120755,149187,120755,149188,120755,149189,120755,149184,120756,149185,120756,149186,120756,149187,120756,149188,120756,149189,120756
53,18,149190,120755,149191,120755,149192,120755,149193,120755,149194,120755,149195,120755,149190,120756,149191,120756,149192,120756,149193,120756,149194,120756,149195,120756
54,18,149196,120755,149197,120755,149198,120755,149199,120755,149200,120755,149201,120755,149196,120756,149197,120756,149198,120756,149199,120756,149200,120756,149201,120756
55,18,149202,120755,149203,120755,149204,120755,149205,120755,149206,120755,149207,120755,149202,120756,149203,120756,149204,120756,149205,120756,149206,120756,149207,120756
56,18,149208,120755,149209,120755,149210,120755,149211,120755,149212,120755,149213,120755,149208,120756,149209,120756,149210,120756,149211,120756,149212,120756,149213,120756
57,18,149214,120755,149215,120755,149216,120755,149217,120755,149218,120755,149219,120755,149214,120756,149215,120756,149216,120756,149217,120756,149218,120756,149219,120756
58,18,149220,120755,149221,120755,149222,120755,149223,120755,149224,120755,149225,120755,149220,120756,149221,120756,149222,120756,149223,120756,149224,120756,149225,120756
59,18,149226,120755,149227,120755,149228,120755,149229,120755,149230,120755,149231,120755,149226,120756,149227,120756,149228,120756,149229,120756,149230,120756,149231,120756
60,18,149232,120755,149233,120755,149234,120755,149235,120755,149236,120755,149237,120755,149232,120756,149233,120756,149234,120756,149235,120756,149236,120756,149237,120756
61,18,149238,120755,149239,120755,149240,120755,149241,120755,149242,120755,149243,120755,149238,120756,149239,120756,149240,120756,149241,120756,149242,120756,149243,120756
62,18,149244,120755,149245,120755,149246,120755,149247,120755,149248,120755,149249,120755,149244,120756,149245,120756,149246,120756,149247,120756,149248,120756,149249,120756
63,18,149250,120755,149251,120755,149252,120755,149253,120755,149254,120755,149255,120755,149250,120756,149251,120756,149252,120756,149253,120756,149254,120756,149255,120756
64,18,149256,120755,149257,120755,149258,120755,149259,120755,149260,120755,149261,120755,149256,120756,149257,120756,149258,120756,149259,120756,149260,120756,149261,120756
65,18,149262,120755,149263,120755,149264,120755,149265,120755,149266,120755,149267,120755,149262,120756,149263,120756,149264,120756,149265,120756,149266,120756,149267,120756
66,18,149268,120755,149269,120755,149270,120755,149271,120755,149272,120755,149273,120755,149268,120756,149269,120756,149270,120756,149271,120756,149272,120756,149273,120756
67,18,149274,120755,149275,120755,149276,120755,149277,120755,149278,120755,149279,120755,149274,120756,149275,120756,149276,120756,149277,120756,149278,120756,149279,120756
68,18,149280,120755,149281,120755,149282,120755,149283,120755,149284,120755,149285,120755,149280,120756,149281,120756,149282,120756,149283,120756,149284,120756,149285,120756
69,18,149286,120755,149287,120755,149288,120755,149289,120755,149290,120755,149291,120755,149286,120756,149287,120756,149288,120756,149289,120756,149290,120756,149291,120756
70,18,149292,120755,149293,120755,149294,120755,149295,120755,149296,120755,149297,120755,149292,120756,149293,120756,149294,120756,149295,120756,149296,120756,149297,120756
71,18,149298,120755,149299,120755,149300,120755,149301,120755,149302,120755,149303,120755,149298,120756,149299,120756,149300,120756,149301,120756,149302,120756,149303,120756
72,18,149304,120755,149305,120755,149306,120755,149307,120755,149308,120755,149309,120755,149304,120756,149305,120756,149306,120756,149307,120756,149308,120756,149309,120756
73,18,149310,120755,149311,120755,149312,120755,149313,120755,149314,120755,149315,120755,149310,120756,149311,120756,149312,120756,149313,120756,149314,120756,149315,120756
74,18,149316,120755,149317,120755,149318,120755,149319,120755,149320,120755,149321,120755,149316,120756,149317,120756,149318,120756,149319,120756,149320,120756,149321,120756
75,18,149322,120755,149323,120755,149324,120755,149325,120755,149326,120755,149327,120755,149322,120756,149323,120756,149324,120756,149325,120756,149326,120756,149327,120756
76,18,149328,120755,149329,120755,149330,120755,149331,120755,149332,120755,149333,120755,149328,120756,149329,120756,149330,120756,149331,120756,149332,120756,149333,120756
77,18,149334,120755,149335,120755,149336,120755,149337,120755,149338,120755,149339,120755,149334,120756,149335,120756,149336,120756,149337,120756,149338,120756,149339,120756
78,18,149340,120755,149341,120755,149342,120755,149343,120755,149344,120755,149345,120755,149340,120756,149341,120756,149342,120756,149343,120756,149344,120756,149345,120756
79,18,149346,120755,149347,120755,149348,120755,149349,120755,149350,120755,149351,120755,149346,120756,149347,120756,149348,120756,149349,120756,149350,120756,149351,120756
80,18,149352,120755,149353,120755,149354,120755,149355,120755,149356,120755,149357,120755,149352,120756,149353,120756,149354,120756,149355,120756,149356,120756,149357,120756
81,18,149358,120755,149359,120755,149360,120755,149361,120755,149362,120755,149363,120755,149358,120756,149359,120756,149360,120756,149361,120756,149362,120756,149363,120756
82,18,149364,120755,149365,120755,149366,120755,149367,120755,149368,120755,149369,120755,149364,120756,149365,120756,149366,120756,149367,120756,149368,120756,149369,120756
83,18,149370,120755,149371,120755,149372,120755,149373,120755,149374,120755,149375,120755,149370,120756,149371,120756,149372,120756,149373,120756,149374,120756,149375,120756
84,18,149376,120755,149377,120755,149378,120755,149379,120755,149380,120755,149381,120755,149376,120756,149377,120756,149378,120756,149379,120756,149380,120756,149381,120756
85,18,149382,120755,149383,120755,149384,120755,149385,120755,149386,120755,149387,120755,149382,120756,149383,120756,149384,120756,149385,120756,149386,120756,149387,120756
86,18,149388,120755,149389,120755,149390,120755,149391,120755,149392,120755,149393,120755,149388,120756,149389,120756,149390,120756,149391,120756,149392,120756,149393,120756
87,18,149394,120755,149395,120755,149396,120755,149397,120755,149398,120755,149399,120755,149394,120756,149395,120756,149396,120756,149397,120756,149398,120756,149399,120756
88,18,149400,120755,149401,120755,149402,120755,149403,120755,149404,120755,149405,120755,149400,120756,149401,120756,149402,120756,149403,120756,149404,120756,149405,120756
89,18,149406,120755,149407,120755,149408,120755,149409,120755,149410,120755,149411,120755,149406,120756,149407,120756,149408,120756,149409,120756,149410,120756,149411,120756
90,18,149412,120755,149413,120755,149414,120755,149415,120755,149416,120755,149417,120755,149412,120756,149413,120756,149414,120756,149415,120756,149416,120756,149417,120756
91,18,149418,120755,149419,120755,149420,120755,149421,120755,149422,120755,149423,120755,149418,120756,149419,120756,149420,120756,149421,120756,149422,120756,149423,120756
92,18,149424,120755,149425,120755,149426,120755,149427,120755,149428,120755,149429,120755,149424,120756,149425,120756,149426,120756,149427,120756,149428,120756,149429,120756
93,18,149430,120755,149431,120755,149432,120755,149433,120755,149434,120755,149435,120755,149430,120756,149431,120756,149432,120756,149433,120756,149434,120756,149435,120756
94,18,149436,120755,149437,120755,149438,120755,149439,120755,149440,120755,149441,120755,149436,120756,149437,120756,149438,120756,149439,120756,149440,120756,149441,120756
95,18,148872,120757,148873,120757,148874,120757,148875,120757,148876,120757,148877,120757,148872,120758,148873,120758,148874,120758,148875,120758,148876,120758,148877,120758
96,18,148878,120757,148879,120757,148880,120757,148881,120757,148882,120757,148883,120757,148878,120758,148879,120758,148880,120758,148881,120758,148882,120758,148883,120758
97,18,148884,120757,148885,120757,148886,120757,148887,120757,148888,120757,148889,120757,148884,120758,148885,120758,148886,120758,148887,120758,148888,120758,148889,120758
98,18,148890,120757,148891,120757,148892,120757,148893,120757,148894,120757,148895,120757,148890,120758,148891,120758,148892,120758,148893,120758,148894,120758,148895,120758
99,18,148896,120757,148897,120757,148898,120757,148899,120757,148900,120757,148901,120757,148896,120758,148897,120758,148898,120758,148899,120758,148900,120758,148901,120758
100,18,148902,120757,148903,120757,148904,120757,148905,120757,148906,120757,148907,120757,148902,120758,148903,120758,148904,120758,148905,120758,148906,120758,148907,120758
101,18,148908,120757,148909,120757,148910,120757,148911,120757,148912,120757,148913,120757,148908,120758,148909,120758,148910,120758,148911,120758,148912,120758,148913,120758
102,18,148914,120757,148915,120757,148916,120757,148917,120757,148918,120757,148919,120757,148914,120758,148915,120758,148916,120758,148917,120758,148918,120758,148919,120758
103,18,148920,120757,148921,120757,148922,120757,148923,120757,148924,120757,148925,120757,148920,120758,148921,120758,148922,120758,148923,120758,148924,120758,148925,120758
104,18,148926,120757,148927,120757,148928,120757,148929,120757,148930,120757,148931,120757,148926,120758,148927,120758,148928,120758,148929,120758,148930,120758,148931,120758
105,18,148932,120757,148933,120757,148934,120757,148935,120757,148936,120757,148937,120757,148932,120758,148933,120758,148934,120758,148935,120758,148936,120758,148937,120758
106,18,148938,120757,148939,120757,148940,120757,148941,120757,148942,120757,148943,120757,148938,120758,148939,120758,148940,120758,148941,120758,148942,120758,148943,120758
107,18,148944,120757,148945,120757,148946,120757,148947,120757,148948,120757,148949,120757,148944,120758,148945,120758,148946,120758,148947,120758,148948,120758,148949,120758
108,18,148950,120757,148951,120757,148952,120757,148953,120757,148954,120757,148955,120757,148950,120758,148951,120758,148952,120758,148953,120758,148954,120758,148955,120758
109,18,148956,120757,148957,120757,148958,120757,148959,120757,148960,120757,148961,120757,148956,120758,148957,120758,148958,120758,148959,120758,148960,120758,148961,120758
110,18,148962,120757,148963,120757,148964,120757,148965,120757,148966,120757,148967,120757,148962,120758,148963,120758,148964,120758,148965,120758,148966,120758,148967,120758
111,18,148968,120757,148969,120757,148970,120757,148971,120757,148972,120757,148973,120757,148968,120758,148969,120758,148970,120758,148971,120758,148972,120758,148973,120758
112,18,148974,120757,148975,120757,148976,120757,148977,120757,148978,120757,148979,120757,148974,120758,148975,120758,148976,120758,148977,120758,148978,120758,148979,120758
113,18,148980,120757,148981,120757,148982,120757,148983,120757,148984,120757,148985,120757,148980,120758,148981,120758,148982,120758,148983,120758,148984,120758,148985,120758
114,18,148986,120757,148987,120757,148988,120757,148989,120757,148990,120757,148991,120757,148986,120758,148987,120758,148988,120758,148989,120758,148990,120758,148991,120758
115,18,148992,120757,148993,120757,148994,120757,148995,120757,148996,120757,148997,120757,148992,120758,148993,120758,148994,120758,148995,120758,148996,120758,148997,120758
116,18,148998,120757,148999,120757,149000,120757,149001,120757,149002,120757,149003,120757,148998,120758,148999,120758,149000,120758,149001,120758,149002,120758,149003,120758
117,18,149004,120757,149005,120757,149006,120757,149007,120757,149008,120757,149009,120757,149004,120758,149005,120758,149006,120758,149007,120758,149008,120758,149009,120758
118,18,149010,120757,149011,120757,149012,120757,149013,120757,149014,120757,149015,120757,149010,120758,149011,120758,149012,120758,149013,120758,149014,120758,149015,120758
119,18,149016,120757,149017,120757,149018,120757,149019,120757,149020,120757,149021,120757,149016,120758,149017,120758,149018,120758,149019,120758,149020,120758,149021,120758
120,18,149022,120757,149023,120757,149024,120757,149025,120757,149026,120757,149027,120757,149022,120758,149023,120758,149024,120758,149025,120758,149026,120758,149027,120758
121,18,149028,120757,149029,120757,149030,120757,149031,120757,149032,120757,149033,120757,149028,120758,149029,120758,149030,120758,149031,120758,149032,120758,149033,120758
122,18,149034,120757,149035,120757,149036,120757,149037,120757,149038,120757,149039,120757,149034,120758,149035,120758,149036,120758,149037,120758,149038,120758,149039,120758
123,18,149040,120757,149041,120757,149042,120757,149043,120757,149044,120757,149045,120757,149040,120758,149041,120758,149042,120758,149043,120758,149044,120758,149045,120758
124,18,149046,120757,149047,120757,149048,120757,149049,120757,149050,120757,149051,120757,149046,120758,149047,120758,149048,120758,149049,120758,149050,120758,149051,120758
125,18,149052,120757,149053,120757,149054,120757,149055,120757,149056,120757,149057,120757,149052,120758,149053,120758,149054,120758,149055,120758,149056,120758,149057,120758
126,18,149058,120757,149059,120757,149060,120757,149061,120757,149062,120757,149063,120757,149058,120758,149059,120758,149060,120758,149061,120758,149062,120758,149063,120758
127,18,149064,120757,149065,120757,149066,120757,149067,120757,149068,120757,149069,120757,149064,120758,149065,120758,149066,120758,149067,120758,149068,120758,149069,120758
128,18,149070,120757,149071,120757,149072,120757,149073,120757,149074,120757,149075,120757,149070,120758,149071,120758,149072,120758,149073,120758,149074,120758,149075,120758
129,18,149076,120757,149077,120757,149078,120757,149079,120757,149080,120757,149081,120757,149076,120758,149077,120758,149078,120758,149079,120758,149080,120758,149081,120758
130,18,149082,120757,149083,120757,149084,120757,149085,120757,149086,120757,149087,120757,149082,120758,149083,120758,149084,120758,149085,120758,149086,120758,149087,120758
131,18,149088,120757,149089,120757,149090,120757,149091,120757,149092,120757,149093,120757,149088,120758,149089,120758,149090,120758,149091,120758,149092,120758,149093,120758
132,18,149094,120757,149095,120757,149096,120757,149097,120757,149098,120757,149099,120757,149094,120758,149095,120758,149096,120758,149097,120758,149098,120758,149099,120758
133,18,149100,120757,149101,120757,149102,120757,149103,120757,149104,120757,149105,120757,149100,120758,149101,120758,149102,120758,149103,120758,149104,120758,149105,120758
134,18,149106,120757,149107,120757,149108,120757,149109,120757,149110,120757,149111,120757,149106,120758,149107,120758,149108,120758,149109,120758,149110,120758,149111,120758
135,18,149112,120757,149113,120757,149114,120757,149115,120757,149116,120757,149117,120757,149112,120758,149113,120758,149114,120758,149115,120758,149116,120758,149117,120758
136,18,149118,120757,149119,120757,149120,120757,149121,120757,149122,120757,149123,120757,149118,120758,149119,120758,149120,120758,149121,120758,149122,120758,149123,120758
137,18,149124,120757,149125,120757,149126,120757,149127,120757,149128,120757,149129,120757,149124,120758,149125,120758,149126,120758,149127,120758,149128,120758,149129,120758
138,18,149130,120757,149131,120757,149132,120757,149133,120757,149134,120757,149135,120757,149130,120758,149131,120758,149132,120758,149133,120758,149134,120758,149135,120758
139,18,149136,120757,149137,120757,149138,120757,149139,120757,149140,120757,149141,120757,149136,120758,149137,120758,149138,120758,149139,120758,149140,120758,149141,120758
