index,zoom,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12
0,17,74431,60646,74432,60646,74433,60646,74434,60646,74435,60646,74436,60646,74431,60647,74432,60647,74433,60647,74434,60647,74435,60647,74436,60647
1,17,74437,60646,74438,60646,74439,60646,74440,60646,74441,60646,74442,60646,74437,60647,74438,60647,74439,60647,74440,60647,74441,60647,74442,60647
2,17,74443,60646,74444,60646,74445,60646,74446,60646,74447,60646,74448,60646,74443,60647,74444,60647,74445,60647,74446,60647,74447,60647,74448,60647
3,17,74449,60646,74450,60646,74451,60646,74452,60646,74453,60646,74454,60646,74449,60647,74450,60647,74451,60647,74452,60647,74453,60647,74454,60647
4,17,74455,60646,74456,60646,74457,60646,74458,60646,74459,60646,74460,60646,74455,60647,74456,60647,74457,60647,74458,60647,74459,60647,74460,60647
5,17,74461,60646,74462,60646,74463,60646,74464,60646,74465,60646,74466,60646,74461,60647,74462,60647,74463,60647,74464,60647,74465,60647,74466,60647
6,17,74467,60646,74468,60646,74469,60646,74470,60646,74471,60646,74472,60646,74467,60647,74468,60647,74469,60647,74470,60647,74471,60647,74472,60647
7,17,74473,60646,74474,60646,74475,60646,74476,60646,74477,60646,74478,60646,74473,60647,74474,60647,74475,60647,74476,60647,74477,60647,74478,60647
8,17,74479,60646,74480,60646,74481,60646,74482,60646,74483,60646,74484,60646,74479,60647,74480,60647,74481,60647,74482,60647,74483,60647,74484,60647
9,17,74485,60646,74486,60646,74487,60646,74488,60646,74489,60646,74490,60646,74485,60647,74486,60647,74487,60647,74488,60647,74489,60647,74490,60647
10,17,74491,60646,74492,60646,74493,60646,74494,60646,74495,60646,74496,60646,74491,60647,74492,60647,74493,60647,74494,60647,74495,60647,74496,60647
11,17,74497,60646,74498,60646,74499,60646,74500,60646,74501,60646,74502,60646,74497,60647,74498,60647,74499,60647,74500,60647,74501,60647,74502,60647
12,17,74503,60646,74504,60646,74505,60646,74506,60646,74507,60646,74508,60646,74503,60647,74504,60647,74505,60647,74506,60647,74507,60647,74508,60647
13,17,74509,60646,74510,60646,74511,60646,74512,60646,74513,60646,74514,60646,74509,60647,74510,60647,74511,60647,74512,60647,74513,60647,74514,60647
14,17,74515,60646,74516,60646,74517,60646,74518,60646,74519,60646,74520,60646,74515,60647,74516,60647,74517,60647,74518,60647,74519,60647,74520,60647
15,17,74431,60648,74432,60648,74433,60648,74434,60648,74435,60648,74436,60648,74431,60649,74432,60649,74433,60649,74434,60649,74435,60649,74436,60649
16,17,74437,60648,74438,60648,74439,60648,74440,60648,74441,60648,74442,60648,74437,60649,74438,60649,74439,60649,74440,60649,74441,60649,74442,60649
17,17,74443,60648,74444,60648,74445,60648,74446,60648,74447,60648,74448,60648,74443,60649,74444,60649,74445,60649,74446,60649,74447,60649,74448,60649
18,17,74449,60648,74450,60648,74451,60648,74452,60648,74453,60648,74454,60648,74449,60649,74450,60649,74451,60649,74452,60649,74453,60649,74454,60649
19,17,74455,60648,74456,60648,74457,60648,74458,60648,74459,60648,74460,60648,74455,60649,74456,60649,74457,60649,74458,60649,74459,60649,74460,60649
20,17,74461,60648,74462,60648,74463,60648,74464,60648,74465,60648,74466,60648,74461,60649,74462,60649,74463,60649,74464,60649,74465,60649,74466,60649
21,17,74467,60648,74468,60648,74469,60648,74470,60648,74471,60648,74472,60648,74467,60649,74468,60649,74469,60649,74470,60649,74471,60649,74472,60649
22,17,74473,60648,74474,60648,74475,60648,74476,60648,74477,60648,74478,60648,74473,60649,74474,60649,74475,60649,74476,60649,74477,60649,74478,60649
23,17,74479,60648,74480,60648,74481,60648,74482,60648,74483,60648,74484,60648,74479,60649,74480,60649,74481,60649,74482,60649,74483,60649,74484,60649
24,17,74485,60648,74486,60648,74487,60648,74488,60648,74489,60648,74490,60648,74485,60649,74486,60649,74487,60649,74488,60649,74489,60649,74490,60649
25,17,74491,60648,74492,60648,74493,60648,74494,60648,74495,60648,74496,60648,74491,60649,74492,60649,74493,60649,74494,60649,74495,60649,74496,60649
26,17,74497,60648,74498,60648,74499,60648,74500,60648,74501,60648,74502,60648,74497,60649,74498,60649,74499,60649,74500,60649,74501,60649,74502,60649
27,17,74503,60648,74504,60648,74505,60648,74506,60648,74507,60648,74508,60648,74503,60649,74504,60649,74505,60649,74506,60649,74507,60649,74508,60649
28,17,74509,60648,74510,60648,74511,60648,74512,60648,74513,60648,74514,60648,74509,60649,74510,60649,74511,60649,74512,60649,74513,60649,74514,60649
29,17,74515,60648,74516,60648,74517,60648,74518,60648,74519,60648,74520,60648,74515,60649,74516,60649,74517,60649,74518,60649,74519,60649,74520,60649
30,17,74431,60650,74432,60650,74433,60650,74434,60650,74435,60650,74436,60650,74431,60651,74432,60651,74433,60651,74434,60651,74435,60651,74436,60651
31,17,74437,60650,74438,60650,74439,60650,74440,60650,74441,60650,74442,60650,74437,60651,74438,60651,74439,60651,74440,60651,74441,60651,74442,60651
32,17,74443,60650,74444,60650,74445,60650,74446,60650,74447,60650,74448,60650,74443,60651,74444,60651,74445,60651,74446,60651,74447,60651,74448,60651
33,17,74449,60650,74450,60650,74451,60650,74452,60650,74453,60650,74454,60650,74449,60651,74450,60651,74451,60651,74452,60651,74453,60651,74454,60651
34,17,74455,60650,74456,60650,74457,60650,74458,60650,74459,60650,74460,60650,74455,60651,74456,60651,74457,60651,74458,60651,74459,60651,74460,60651
35,17,74461,60650,74462,60650,74463,60650,74464,60650,74465,60650,74466,60650,74461,60651,74462,60651,74463,60651,74464,60651,74465,60651,74466,60651
36,17,74467,60650,74468,60650,74469,60650,74470,60650,74471,60650,74472,60650,74467,60651,74468,60651,74469,60651,74470,60651,74471,60651,74472,60651
37,17,74473,60650,74474,60650,74475,60650,74476,60650,74477,60650,74478,60650,74473,60651,74474,60651,74475,60651,74476,60651,74477,60651,74478,60651
38,17,74479,60650,74480,60650,74481,60650,74482,60650,74483,60650,74484,60650,74479,60651,74480,60651,74481,60651,74482,60651,74483,60651,74484,60651
39,17,74485,60650,74486,60650,74487,60650,74488,60650,74489,60650,74490,60650,74485,60651,74486,60651,74487,60651,74488,60651,74489,60651,74490,60651
40,17,74491,60650,74492,60650,74493,60650,74494,60650,74495,60650,74496,60650,74491,60651,74492,60651,74493,60651,74494,60651,74495,60651,74496,60651
41,17,74497,60650,74498,60650,74499,60650,74500,60650,74501,60650,74502,60650,74497,60651,74498,60651,74499,60651,74500,60651,74501,60651,74502,60651
42,17,74503,60650,74504,60650,74505,60650,74506,60650,74507,60650,74508,60650,74503,60651,74504,60651,74505,60651,74506,60651,74507,60651,74508,60651
43,17,74509,60650,74510,60650,74511,60650,74512,60650,74513,60650,74514,60650,74509,60651,74510,60651,74511,60651,74512,60651,74513,60651,74514,60651
44,17,74515,60650,74516,60650,74517,60650,74518,60650,74519,60650,74520,60650,74515,60651,74516,60651,74517,60651,74518,60651,74519,60651,74520,60651
45,17,74431,60652,74432,60652,74433,60652,74434,60652,74435,60652,74436,60652,74431,60653,74432,60653,74433,60653,74434,60653,74435,60653,74436,60653
46,17,74437,60652,74438,60652,74439,60652,74440,60652,74441,60652,74442,60652,74437,60653,74438,60653,74439,60653,74440,60653,74441,60653,74442,60653
47,17,74443,60652,74444,60652,74445,60652,74446,60652,74447,60652,74448,60652,74443,60653,74444,60653,74445,60653,74446,60653,74447,60653,74448,60653
48,17,74449,60652,74450,60652,74451,60652,74452,60652,74453,60652,74454,60652,74449,60653,74450,60653,74451,60653,74452,60653,74453,60653,74454,60653
49,17,74455,60652,74456,60652,74457,60652,74458,60652,74459,60652,74460,60652,74455,60653,74456,60653,74457,60653,74458,60653,74459,60653,74460,60653
50,17,74461,60652,74462,60652,74463,60652,74464,60652,74465,60652,74466,60652,74461,60653,74462,60653,74463,60653,74464,60653,74465,60653,74466,60653
51,17,74467,60652,74468,60652,74469,60652,74470,60652,74471,60652,74472,60652,74467,60653,74468,60653,74469,60653,74470,60653,74471,60653,74472,60653
52,17,74473,60652,74474,60652,74475,60652,74476,60652,74477,60652,74478,60652,74473,60653,74474,60653,74475,60653,74476,60653,74477,60653,74478,60653
53,17,74479,60652,74480,60652,74481,60652,74482,60652,74483,60652,74484,60652,74479,60653,74480,60653,74481,60653,74482,60653,74483,60653,74484,60653
54,17,74485,60652,74486,60652,74487,60652,74488,60652,74489,60652,74490,60652,74485,60653,74486,60653,74487,60653,74488,60653,74489,60653,74490,60653
55,17,74491,60652,74492,60652,74493,60652,74494,60652,74495,60652,74496,60652,74491,60653,74492,60653,74493,60653,74494,60653,74495,60653,74496,60653
56,17,74497,60652,74498,60652,74499,60652,74500,60652,74501,60652,74502,60652,74497,60653,74498,60653,74499,60653,74500,60653,74501,60653,74502,60653
57,17,74503,60652,74504,60652,74505,60652,74506,60652,74507,60652,74508,60652,74503,60653,74504,60653,74505,60653,74506,60653,74507,60653,74508,60653
58,17,74509,60652,74510,60652,74511,60652,74512,60652,74513,60652,74514,60652,74509,60653,74510,60653,74511,60653,74512,60653,74513,60653,74514,60653
59,17,74515,60652,74516,60652,74517,60652,74518,60652,74519,60652,74520,60652,74515,60653,74516,60653,74517,60653,74518,60653,74519,60653,74520,60653
60,17,74431,60654,74432,60654,74433,60654,74434,60654,74435,60654,74436,60654,74431,60655,74432,60655,74433,60655,74434,60655,74435,60655,74436,60655
61,17,74437,60654,74438,60654,74439,60654,74440,60654,74441,60654,74442,60654,74437,60655,74438,60655,74439,60655,74440,60655,74441,60655,74442,60655
62,17,74443,60654,74444,60654,74445,60654,74446,60654,74447,60654,74448,60654,74443,60655,74444,60655,74445,60655,74446,60655,74447,60655,74448,60655
63,17,74449,60654,74450,60654,74451,60654,74452,60654,74453,60654,74454,60654,74449,60655,74450,60655,74451,60655,74452,60655,74453,60655,74454,60655
64,17,74455,60654,74456,60654,74457,60654,74458,60654,74459,60654,74460,60654,74455,60655,74456,60655,74457,60655,74458,60655,74459,60655,74460,60655
65,17,74461,60654,74462,60654,74463,60654,74464,60654,74465,60654,74466,60654,74461,60655,74462,60655,74463,60655,74464,60655,74465,60655,74466,60655
66,17,74467,60654,74468,60654,74469,60654,74470,60654,74471,60654,74472,60654,74467,60655,74468,60655,74469,60655,74470,60655,74471,60655,74472,60655
67,17,74473,60654,74474,60654,74475,60654,74476,60654,74477,60654,74478,60654,74473,60655,74474,60655,74475,60655,74476,60655,74477,60655,74478,60655
