index,zoom,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12
0,18,137923,130735,137924,130735,137925,130735,137926,130735,137927,130735,137928,130735,137923,130736,137924,130736,137925,130736,137926,130736,137927,130736,137928,130736
1,18,137929,130735,137930,130735,137931,130735,137932,130735,137933,130735,137934,130735,137929,130736,137930,130736,137931,130736,137932,130736,137933,130736,137934,130736
2,18,137935,130735,137936,130735,137937,130735,137938,130735,137939,130735,137940,130735,137935,130736,137936,130736,137937,130736,137938,130736,137939,130736,137940,130736
3,18,137941,130735,137942,130735,137943,130735,137944,130735,137945,130735,137946,130735,137941,130736,137942,130736,137943,130736,137944,130736,137945,130736,137946,130736
4,18,137947,130735,137948,130735,137949,130735,137950,130735,137951,130735,137952,130735,137947,130736,137948,130736,137949,130736,137950,130736,137951,130736,137952,130736
5,18,137953,130735,137954,130735,137955,130735,137956,130735,137957,130735,137958,130735,137953,130736,137954,130736,137955,130736,137956,130736,137957,130736,137958,130736
6,18,137959,130735,137960,130735,137961,130735,137962,130735,137963,130735,137964,130735,137959,130736,137960,130736,137961,130736,137962,130736,137963,130736,137964,130736
7,18,137965,130735,137966,130735,137967,130735,137968,130735,137969,130735,137970,130735,137965,130736,137966,130736,137967,130736,137968,130736,137969,130736,137970,130736
8,18,137971,130735,137972,130735,137973,130735,137974,130735,137975,130735,137976,130735,137971,130736,137972,130736,137973,130736,137974,130736,137975,130736,137976,130736
9,18,137977,130735,137978,130735,137979,130735,137980,130735,137981,130735,137982,130735,137977,130736,137978,130736,137979,130736,137980,130736,137981,130736,137982,130736
10,18,137923,130737,137924,130737,137925,130737,137926,130737,137927,130737,137928,130737,137923,130738,137924,130738,137925,130738,137926,130738,137927,130738,137928,130738
11,18,137929,130737,137930,130737,137931,130737,137932,130737,137933,130737,137934,130737,137929,130738,137930,130738,137931,130738,137932,130738,137933,130738,137934,130738
12,18,137935,130737,137936,130737,137937,130737,137938,130737,137939,130737,137940,130737,137935,130738,137936,130738,137937,130738,137938,130738,137939,130738,137940,130738
13,18,137941,130737,137942,130737,137943,130737,137944,130737,137945,130737,137946,130737,137941,130738,137942,130738,137943,130738,137944,130738,137945,130738,137946,130738
14,18,137947,130737,137948,130737,137949,130737,137950,130737,137951,130737,137952,130737,137947,130738,137948,130738,137949,130738,137950,130738,137951,130738,137952,130738
15,18,137953,130737,137954,130737,137955,130737,137956,130737,137957,130737,137958,130737,137953,130738,137954,130738,137955,130738,137956,130738,137957,130738,137958,130738
16,18,137959,130737,137960,130737,137961,130737,137962,130737,137963,130737,137964,130737,137959,130738,137960,130738,137961,130738,137962,130738,137963,130738,137964,130738
17,18,137965,130737,137966,130737,137967,130737,137968,130737,137969,130737,137970,130737,137965,130738,137966,130738,137967,130738,137968,130738,137969,130738,137970,130738
18,18,137971,130737,137972,130737,137973,130737,137974,130737,137975,130737,137976,130737,137971,130738,137972,130738,137973,130738,137974,130738,137975,130738,137976,130738
19,18,137977,130737,137978,130737,137979,130737,137980,130737,137981,130737,137982,130737,137977,130738,137978,130738,137979,130738,137980,130738,137981,130738,137982,130738
20,18,137923,130739,137924,130739,137925,130739,137926,130739,137927,130739,137928,130739,137923,130740,137924,130740,137925,130740,137926,130740,137927,130740,137928,130740
21,18,137929,130739,137930,130739,137931,130739,137932,130739,137933,130739,137934,130739,137929,130740,137930,130740,137931,130740,137932,130740,137933,130740,137934,130740
22,18,137935,130739,137936,130739,137937,130739,137938,130739,137939,130739,137940,130739,137935,130740,137936,130740,137937,130740,137938,130740,137939,130740,137940,130740
23,18,137941,130739,137942,130739,137943,130739,137944,130739,137945,130739,137946,130739,137941,130740,137942,130740,137943,130740,137944,130740,137945,130740,137946,130740
24,18,137947,130739,137948,130739,137949,130739,137950,130739,137951,130739,137952,130739,137947,130740,137948,130740,137949,130740,137950,130740,137951,130740,137952,130740
25,18,137953,130739,137954,130739,137955,130739,137956,130739,137957,130739,137958,130739,137953,130740,137954,130740,137955,130740,137956,130740,137957,130740,137958,130740
26,18,137959,130739,137960,130739,137961,130739,137962,130739,137963,130739,137964,130739,137959,130740,137960,130740,137961,130740,137962,130740,137963,130740,137964,130740
27,18,137965,130739,137966,130739,137967,130739,137968,130739,137969,130739,137970,130739,137965,130740,137966,130740,137967,130740,137968,130740,137969,130740,137970,130740
28,18,137971,130739,137972,130739,137973,130739,137974,130739,137975,130739,137976,130739,137971,130740,137972,130740,137973,130740,137974,130740,137975,130740,137976,130740
29,18,137977,130739,137978,130739,137979,130739,137980,130739,137981,130739,137982,130739,137977,130740,137978,130740,137979,130740,137980,130740,137981,130740,137982,130740
