index,zoom,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12
0,12,2316,1816,2317,1816,2316,1817,2317,1817,2316,1818,2317,1818,2316,1819,2317,1819,2316,1820,2317,1820,2316,1821,2317,1821
1,12,2318,1816,2319,1816,2318,1817,2319,1817,2318,1818,2319,1818,2318,1819,2319,1819,2318,1820,2319,1820,2318,1821,2319,1821
2,12,2320,1816,2321,1816,2320,1817,2321,1817,2320,1818,2321,1818,2320,1819,2321,1819,2320,1820,2321,1820,2320,1821,2321,1821
3,12,2322,1816,2323,1816,2322,1817,2323,1817,2322,1818,2323,1818,2322,1819,2323,1819,2322,1820,2323,1820,2322,1821,2323,1821
4,12,2324,1816,2325,1816,2324,1817,2325,1817,2324,1818,2325,1818,2324,1819,2325,1819,2324,1820,2325,1820,2324,1821,2325,1821
5,12,2316,1822,2317,1822,2316,1823,2317,1823,2316,1824,2317,1824,2316,1825,2317,1825,2316,1826,2317,1826,2316,1827,2317,1827
6,12,2318,1822,2319,1822,2318,1823,2319,1823,2318,1824,2319,1824,2318,1825,2319,1825,2318,1826,2319,1826,2318,1827,2319,1827
7,12,2320,1822,2321,1822,2320,1823,2321,1823,2320,1824,2321,1824,2320,1825,2321,1825,2320,1826,2321,1826,2320,1827,2321,1827
8,12,2322,1822,2323,1822,2322,1823,2323,1823,2322,1824,2323,1824,2322,1825,2323,1825,2322,1826,2323,1826,2322,1827,2323,1827
9,12,2324,1822,2325,1822,2324,1823,2325,1823,2324,1824,2325,1824,2324,1825,2325,1825,2324,1826,2325,1826,2324,1827,2325,1827
